package	metadata_names	description	license	status	registered_module	binding_flag	configuration_file	delivery	implementation_evidence	python_stub_status	docstring_status	test_status	missing_apis_or_deficiencies	blocker	evidence_state
Modular_arithmetic	Modular_arithmetic	Modular Arithmetic - modular type - modular traits - modular gcd - some needed algorithms - chiniese_remainder_traits (very experimental)	LGPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Modular_arithmetic.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Nef_2	Nef_2	Nef polyhedra in the plane	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Nef_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Nef_3	Nef_3	Nef polyhedra in 3D.	GPL (v3 or later)	PARTIAL	Nef3	CGALPY_NEF_3_BINDINGS	cmake/modules/nef_3_options.cmake	registered Nef3 module with maintained pol3_wn_ae_ch3_nef3_pmp_epec variant; existing detached artifact requires rebuild at current HEAD	Current nef_3_bindings.cpp exposes Nef_polyhedron_3, Volume, Volume_iterator, Boundary, Content, Im, volumes, convert_inner_shell_to_polyhedron, and convex_decomposition_3. An existing EPEC+Polyhedron detached extension imports successfully, default construction succeeds, and volumes returns Volume_iterator.	The existing generated Nef3 and combined-module stubs parse successfully and describe Nef_polyhedron_3, Volume, Volume_iterator, volumes, convert_inner_shell_to_polyhedron, and convex_decomposition_3.	Nef_3.json contains 16 compounds. Existing build-tree Nef3_docstrings.hpp and Nef3_docstrings.cpp were verified, and the current source consumes Nef3_docstrings.hpp.	Maintained pol3_wn_ae_ch3_nef3_pmp_epec CMake test and manifest exist. An existing extension, wheel, stubs and generated docstrings were inspected successfully, but make -q reports that the current CGALPY target requires rebuilding. No focused tracked Python example was found.	The exposed Nef_polyhedron_3 API is limited to construction, volume iteration, inner-shell conversion and convex decomposition; Volume exposes only mark(). Nef_nary_union_3 and documented topology/navigation entities including Vertex, Halfedge, Halffacet, SFace, SHalfedge, SHalfloop and related iterators are not exposed. The tracked example notes state that the API is too limited for a faithful direct CGAL example translation.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Nef_S2	Nef_S2	Nef polyhedra in the sphere surface	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Nef_S2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
NewKernel_d	NewKernel_d	d-dimensional Geometry Kernel	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 2 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Epeck_d.h; CGAL/Epick_d.h. Binding files: src/libs/cgalpy/include/cgalpy/kernel_d_types.hpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	No dedicated package JSON documentation input or standalone generated Python documentation module was identified.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Number_types	Number_types	number type support	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 7 public header(s) owned by this package from 4 binding source/header file(s). Included headers: CGAL/CORE_BigInt.h; CGAL/GMP/Gmpq_type.h; CGAL/GMP/Gmpz_type.h; CGAL/Gmpq.h; CGAL/Gmpz.h; CGAL/Lazy_exact_nt.h; CGAL/Sqrt_extension.h. Binding files: src/libs/cgalpy/include/cgalpy/kernel_d_types.hpp; src/libs/cgalpy/include/cgalpy/kernel_type.hpp; src/libs/cgalpy/lib/export_gmp.cpp; src/libs/cgalpy/lib/kernel_bindings.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/Number_types.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Optimal_bounding_box	Optimal_bounding_box		GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Optimal_bounding_box.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Optimal_transportation_reconstruction_2	Optimal_transportation_reconstruction_2	This component implements a robust method to reconstruct and simplify 2D point sets. The algorithm takes as input a set of 2D points (optionally with mass attributes) and generates as output a set of line segments and isolated points which approximate the input points.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Optimal_transportation_reconstruction_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Optimisation_basic	Optimisation_basic	Basic stuff for geometric optimization	LGPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Orthtree	Orthtree		GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Orthtree.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
PMP_Boolean_operations	PMP_Boolean_operations	This package contains functions that perform Boolean operations on triangulated surface meshes; clipping and splitting of meshes using planes, boxes, or other meshes; and slicing of meshes with planes.	GPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 6 public header(s) owned by this package from 6 binding source/header file(s). Included headers: CGAL/Polygon_mesh_processing/autorefinement.h; CGAL/Polygon_mesh_processing/clip.h; CGAL/Polygon_mesh_processing/corefinement.h; CGAL/Polygon_mesh_processing/internal/Corefinement/face_graph_utils.h; CGAL/Polygon_mesh_processing/intersection_polylines.h; CGAL/Polygon_mesh_processing/refine_mesh_at_isolevel.h. Binding files: src/libs/cgalpy/include/cgalpy/Autorefinement_visitor.hpp; src/libs/cgalpy/include/cgalpy/Corefine_visitor.hpp; src/libs/cgalpy/include/cgalpy/Default_visitor.hpp; src/libs/cgalpy/include/cgalpy/Non_manifold_output_visitor.hpp; src/libs/cgalpy/lib/export_pmp_corefinement.cpp; src/libs/cgalpy/lib/polygon_mesh_processing_bindings.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/PMP_Boolean_operations.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
PMP_Mesh_repair	PMP_Mesh_repair	This package contains functions that perform detection and treatment of defects in polygon meshes.	GPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 13 public header(s) owned by this package from 8 binding source/header file(s). Included headers: CGAL/Polygon_mesh_processing/IO/polygon_mesh_io.h; CGAL/Polygon_mesh_processing/manifoldness.h; CGAL/Polygon_mesh_processing/merge_border_vertices.h; CGAL/Polygon_mesh_processing/orient_polygon_soup.h; CGAL/Polygon_mesh_processing/orient_polygon_soup_extension.h; CGAL/Polygon_mesh_processing/orientation.h; CGAL/Polygon_mesh_processing/polygon_mesh_to_polygon_soup.h; CGAL/Polygon_mesh_processing/polygon_soup_to_polygon_mesh.h; CGAL/Polygon_mesh_processing/repair.h; CGAL/Polygon_mesh_processing/repair_degeneracies.h; CGAL/Polygon_mesh_processing/repair_polygon_soup.h; CGAL/Polygon_mesh_processing/stitch_borders.h; CGAL/Polygon_mesh_processing/triangulate_hole.h. Binding files: src/libs/cgalpy/include/cgalpy/Default_orientation_visitor.hpp; src/libs/cgalpy/include/cgalpy/HFDefault_visitor.hpp; src/libs/cgalpy/lib/export_pmp_combinatorial_repair.cpp; src/libs/cgalpy/lib/export_pmp_geometric_repair.cpp; src/libs/cgalpy/lib/export_pmp_hole_filling.cpp; src/libs/cgalpy/lib/export_pmp_io.cpp; src/libs/cgalpy/lib/export_pmp_orientation.cpp; src/libs/cgalpy/lib/surface_mesh_bindings.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/PMP_Mesh_repair.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
PMP_Remeshing	PMP_Remeshing	This package contains classes and functions that perform meshing and remeshing of 3D surface meshes.	GPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 12 public header(s) owned by this package from 4 binding source/header file(s). Included headers: CGAL/Polygon_mesh_processing/Adaptive_sizing_field.h; CGAL/Polygon_mesh_processing/Uniform_sizing_field.h; CGAL/Polygon_mesh_processing/angle_and_area_smoothing.h; CGAL/Polygon_mesh_processing/extrude.h; CGAL/Polygon_mesh_processing/fair.h; CGAL/Polygon_mesh_processing/random_perturbation.h; CGAL/Polygon_mesh_processing/refine.h; CGAL/Polygon_mesh_processing/remesh.h; CGAL/Polygon_mesh_processing/remesh_planar_patches.h; CGAL/Polygon_mesh_processing/smooth_shape.h; CGAL/Polygon_mesh_processing/tangential_relaxation.h; CGAL/Polygon_mesh_processing/triangulate_faces.h. Binding files: src/libs/cgalpy/include/cgalpy/Adaptive_sizing_field.hpp; src/libs/cgalpy/include/cgalpy/Triangulate_faces_visitor.hpp; src/libs/cgalpy/include/cgalpy/Uniform_sizing_field.hpp; src/libs/cgalpy/lib/export_pmp_meshing.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/PMP_Remeshing.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Partition_2	Partition_2	Algorithms for decomposing polygons into convex and monotone polygons are provided.	GPL (v3 or later)	PARTIAL	Pp2	CGALPY_POLYGON_PARTITIONING_BINDINGS	cmake/modules/polygon_partitioning_options.cmake	registered Pp2 module without a dedicated runner. The maintained shared ms2_seg_epec variant and manifest enable polygon partitioning, while ms2_conic_ccr and ms2_cs_epec explicitly disable it because of the Partition_traits_2 issue. One historical shared EPEC extension, wheel, Pp2 stub and generated docstrings were located. Exact-current-HEAD freshness was not established.	Current source and the historical runtime expose is_y_monotone_2, is_convex_2, Polygon_vertical_decomposition, Polygon_triangulation_decomposition and Small_side_angle_bisector_decomposition. The historical extension imports successfully and exposes exactly these five Pp2 symbols. The decomposition classes return Python lists and are used as strategies by shared Minkowski_sum_2 examples.	The historical Pp2 module stub parses successfully and contains the same two predicate functions and three decomposition classes visible at runtime. It correctly omits the commented partition algorithms and validation functions.	Partition_2.json contains 18 compounds. Integrated build-tree Pp2_docstrings.hpp and Pp2_docstrings.cpp artifacts were verified, and the current source consumes Pp2_docstrings.hpp.	The shared ms2_seg_epec runner and manifest enable Pp2. A historical shared EPEC extension and wheel import successfully, and its Pp2 stub parses. sum_by_decomposition.py exercises Small_side_angle_bisector_decomposition and sum_of_holes.py exercises Polygon_vertical_decomposition. exact_offset.py imports Pp2 but no Pp2 call was verified. No dedicated Partition_2 runner or focused example was found. Build freshness could not be queried because the located directory has no Makefile.	The principal approx_convex_partition_2, greene_approx_convex_partition_2, optimal_convex_partition_2 and y_monotone_partition_2 algorithms are commented out and absent at runtime. partition_is_valid_2, convex_partition_is_valid_2 and y_monotone_partition_is_valid_2 are also not exported. Source comments identify a Partition_traits_2 polygon-container compatibility problem requiring list/vector conversion. Two shared Minkowski Sum configurations deliberately disable Pp2. The example README incorrectly describes Pp2 as Point_set_processing_2.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Periodic_2_triangulation_2	Periodic_2_triangulation_2	This package is the periodic version of the 2D triangulation package.	GPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 7 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Periodic_2_Delaunay_triangulation_2.h; CGAL/Periodic_2_Delaunay_triangulation_traits_2.h; CGAL/Periodic_2_triangulation_2.h; CGAL/Periodic_2_triangulation_face_base_2.h; CGAL/Periodic_2_triangulation_hierarchy_2.h; CGAL/Periodic_2_triangulation_traits_2.h; CGAL/Periodic_2_triangulation_vertex_base_2.h. Binding files: src/libs/cgalpy/include/cgalpy/triangulation_2_config.hpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/Periodic_2_triangulation_2.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Periodic_3_mesh_3	Periodic_3_mesh_3	The Periodic_3_mesh_3 package is a mesh generator used to build isotropic simplicial meshes of periodic 3D domains.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Periodic_3_mesh_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Periodic_3_triangulation_3	Periodic_3_triangulation_3		GPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 8 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Periodic_3_Delaunay_triangulation_3.h; CGAL/Periodic_3_Delaunay_triangulation_traits_3.h; CGAL/Periodic_3_regular_triangulation_3.h; CGAL/Periodic_3_regular_triangulation_traits_3.h; CGAL/Periodic_3_triangulation_3.h; CGAL/Periodic_3_triangulation_ds_cell_base_3.h; CGAL/Periodic_3_triangulation_ds_vertex_base_3.h; CGAL/Periodic_3_triangulation_traits_3.h. Binding files: src/libs/cgalpy/include/cgalpy/triangulation_3_config.hpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/Periodic_3_triangulation_3.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Periodic_4_hyperbolic_triangulation_2	Periodic_4_hyperbolic_triangulation_2	Package 2D periodic hyperbolic triangulation: provides Delaunay triangulations of the Bolza surface, represented as periodic triangulations in the Poincaré disk model of the hyperbolic plane, with demos, examples, and tests.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Periodic_4_hyperbolic_triangulation_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Point_set_2	Point_set_2	2d Point set data type - CGAL triangulation based version	GPL (v3 or later)	PARTIAL				root/Tri2 duplicate exports		No standalone Point_set_2 Python module or dedicated module stub exists. Its limited Python-visible delivery is through existing root/Tri2 exports rather than an independent Point_set_2 module.			Build route exists but only Triangulation_cw_ccw_2 and Triangulation_2 are exported; Point_set_2, nearest-neighbor, and range-search APIs are absent.		VERIFIED
Point_set_3	Point_set_3		GPL (v3 or later)	PARTIAL				root binding		No standalone Point_set_3 Python module or dedicated module stub exists. Its Python-visible root bindings are represented through the generated root stub; the audited root stub is syntactically invalid because of reserved 'from' parameters and a defaulted **np signature.			No registered submodule; generated root stub is syntactically invalid because of reserved from parameters and defaulted **np; no focused tracked test identified.		VERIFIED
Point_set_processing_3	Point_set_processing_3	Point Set Processing This CGAL component implements a set of algorithms for analysis, processing, and normal estimation and orientation of point sets.	GPL (v3 or later)	PARTIAL				Psp runtime submodule		A Psp runtime submodule exists, but Psp is absent from the generated Python stubs. Stub coverage for this runtime submodule is therefore currently missing.			Runtime API and tests exist, but Psp is absent from generated stubs and generated package docstrings; callback lifetime and ownership are blocked on Efi.	BLOCKED-ON-EFI: callback lifetime and ownership	VERIFIED
Poisson_surface_reconstruction_3	Poisson_surface_reconstruction_3	Surface Reconstruction from Point Sets This CGAL package implements an implicit surface reconstruction method: Poisson Surface Reconstruction. The input is an unorganized point set with oriented normals.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Poisson_surface_reconstruction_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Polygon	Polygon	class CGAL_Polygon_2	LGPL (v3 or later)	PARTIAL	Pol2	CGALPY_POLYGON_2_BINDINGS	cmake/modules/polygon_2_options.cmake	Registered Pol2 module selected by select_polygon_2. Eleven maintained configurations enable the module: eight EPEC, two EPIC and one Cartesian Core Rational configuration. No dedicated Pol2-only maintained variant was found. Five preserved detached builds contain Pol2 stubs and complete generated and compiled artifacts. Three newer EPEC or EPIC builds contain current Pol2 implementation blobs and unchanged Pol2-specific CMake and export-module integration. The two 1c4cc024 reproduction builds are historical-only because shared polygon-with-holes sources changed afterward. No fresh current-HEAD build or full eleven-configuration rebuild was performed.	Current source exports Polygon_2, General_polygon_with_holes_2 and Polygon_with_holes_2, with Polygon_with_holes_2 derived from General_polygon_with_holes_2. Polygon_2 exposes construction, orientation and side predicates, area and bounding-box operations, vertex and edge access, mutation, iteration, comparisons and stream conversion. Eleven free algorithm families are each bound with explicit-kernel and default-kernel overloads. Polygon-with-holes bindings expose outer-boundary access, hole insertion, iteration and erasure, state queries and stream conversion. Runtime safety probes confirmed owner retention for vertex, edge and hole iterators and readability of vertex, item and outer-boundary results after owner deletion. outer_boundary_mutable modifies the owning object and add_hole works. erase_hole is bound directly to the raw Hole_const_iterator member while holes returns an iterator_state wrapper, making erase_hole unusable from the public Python API.	Five preserved Pol2 stubs parse successfully and expose identical structural surfaces: three expected classes, all eleven expected free algorithm families, conditional draw overloads and every expected class method. Corresponding root binding-library stubs import Pol2. The stubs correctly reflect Polygon_with_holes_2 inheritance and constructor overloads. holes is annotated as object rather than the nested Hole_iterator type. erase_hole leaks a platform-specific std::__1::__deque_iterator signature and rejects the public Hole_iterator at runtime. edges, vertices and holes have weak object return annotations, and the four extremal free functions also return object despite returning elements from the supplied Point_2 list.	Polygon.json is present and current source consumes generated Pol2_docstrings.hpp from detached build-tree output. Wrappers contain 54 docstring references using 43 unique identifiers; all 43 are present in inspected generated output and none has a forbidden CGAL_ prefix. Five preserved compiled build trees have identical generated Pol2 header and source hashes and use namespace cgalpy::pol2::docstrings. Runtime documentation is present for Polygon_2 and inspected free functions. Generated documentation still contains C++ iterator terminology and some C++-oriented parameter and return descriptions. The shared generator emits extern const char* const declarations and definitions rather than the preferred constexpr const char* storage form.	A representative source-equivalent EPEC extension imported successfully and passed all 41 ordinary runtime checks covering public name availability, Polygon_2 construction and copying, size, simplicity, convexity, orientation, area, bounding box, indexed and method vertex access, vertex and edge iteration, comparisons, string conversion, eleven free-function operations, empty-list validation and Polygon_with_holes_2 construction and queries. Ten isolated lifetime and mutation probes were run. Vertex, edge and hole iterators survived owner deletion; vertex, item and outer-boundary results remained readable; outer_boundary_mutable and add_hole worked. vertex_mutable returned a Point_2 reference but no setter interface was observed. erase_hole rejected the original public Hole_iterator, iter(iterator) and next(iterator). No crash occurred. EPIC runtime parity, a fresh current-HEAD build and an all-eleven-variant runtime sweep were not performed.	Confirmed deficiency: General_polygon_with_holes_2.erase_hole is publicly exposed but unusable because it expects the raw C++ Hole_const_iterator while holes returns a bound iterator_state object; no public conversion exists. The method and generated stub expose a libc++ std::__1::__deque_iterator implementation type. holes, edges and vertices use weak object return annotations, as do the four extremal free functions. Some generated documentation describes C++ iterators and C++ signatures rather than the Python-facing list and object interface. vertex_mutable has no demonstrated Python mutation operation because Point_2 exposes no setter methods. The shared docstring generator storage form differs from the preferred constexpr const char* design. Non-fatal Bso2 registration diagnostics observed during import originate from the preserved build's Bso2-enabled and Aos2-disabled configuration and are not Pol2 defects. No fresh current-HEAD build or complete maintained-variant validation was performed.		VERIFIED-PARTIAL-CURRENT-SOURCE-REPRESENTATIVE-HISTORICAL-RUNTIME
